depth,gamma
50,26.359624874007938
150,26.730974539098213
200,26.80896295152032
300,26.95970455315789
400,27.055698300813017
500,27.17093924266403
600,27.251043424324223
700,27.316316558787257
800,27.38593936472709
900,27.44946114231763
1000,27.512335505496427
2000,27.9
